id,title,category,question,answer
11,Câu hỏi thường gặp,FAQ,Sản phẩm mới mua về bị lỗi không sử dụng được thì liên hệ ai để xử lý nhanh mà không bị mất thời gian di chuyển nhiều lần?,Khách hàng có thể mang máy đến tại các cửa hàng FPT Shop trên toàn quốc cũng như các trung tâm bảo hành chính hãng sản phẩm nơi gần nhà khách hàng nhất.
12,Câu hỏi thường gặp,FAQ,Làm thế nào để tra cứu về hóa đơn đã mua hàng tại FPT Shop?,Quý khách thực hiện tra cứu hóa đơn mua hàng tại (https://hddt.fptshop.com.vn/)
13,Câu hỏi thường gặp,FAQ,Cần hướng dẫn vấn đề điều chỉnh hoặc xuất lại hóa đơn do bị sai thông tin khách hàng?,Quý khách vui lòng liên hệ tổng đài 1800.6616 để gặp điện thoại viên tư vấn hỗ trợ hoặc Quý khách tham khảo qua hướng dẫn Tại (https://hddt.fptshop.com.vn/bien-ban-huy) nếu liên quan đến hóa đơn công ty.
14,Câu hỏi thường gặp,FAQ,Điện thoại mua tại FPT Shop bị lỗi và gửi đi bảo hành nhưng muốn mượn một máy khác để dùng trong thời gian chờ bảo hành thì có được không và liên hệ đến ai để hỗ trợ vấn đề này?,"FPT Shop sẽ hỗ trợ cho khách hàng mượn điện thoại khác sử dụng theo quy định của công ty, mời Quý khách liên hệ tại cửa hàng FPT Shop nơi khách hàng gửi máy đi bảo hành để được tư vấn hỗ trợ."
15,Câu hỏi thường gặp,FAQ,Muốn thanh toán tiền thu hộ qua kênh online thì thực hiện bằng cách nào?,Quý khách thực hiện truy cập đường dẫn (https://fptshop.com.vn/dich-vu) để thực hiện thanh toán online 
16,Câu hỏi thường gặp,FAQ,Cần tra cứu điểm mua hàng tại FPT Shop đã tích điểm được bao nhiêu thì xem ở đâu?,Quý khách thực hiện tra cứu điểm tích tại  (https://fptshop.com.vn/tai-khoan/lich-su-tich-diem) bằng cách đăng nhập số điện thoại mua hàng của Quý khách.
17,Câu hỏi thường gặp,FAQ,Muốn cập nhật máy Apple có thời gian bảo hành không đúng hoặc chưa kích hoạt bảo hành trên hệ thống Website của Apple thì làm thế nào?,Quý khách vui lòng chờ thêm và kiểm tra lại thông tin bảo hành sau 72h kể từ khi kích hoạt máy. Nếu sau thời gian này vẫn chưa cập nhật thời gian bảo hành thì Quý khách vui lòng liên hệ tổng đài 1800.6616 để gặp tổng đài viên hỗ trợ.
18,Câu hỏi thường gặp,FAQ,Cách tra cứu về thông tin trúng thưởng của FPT Shop khi tham gia các chương trình mini game?,Quý khách thực hiện tra cứu tại (https://fptshop.com.vn/khuyen-mai/thong-tin-trao-thuong)
19,Câu hỏi thường gặp,FAQ,Máy gửi đi sửa dịch vụ và đã nhận thông tin báo phí nhưng muốn thanh toán phí online thì thực hiện bằng cách nào?,Quý khách vui lòng liên hệ tổng đài 1800.6616 để gặp điện thoại viên tư vấn hỗ trợ.
20,Câu hỏi thường gặp,FAQ,Phụ kiện nhập khẩu Apple đã hết hạn bảo hành và muốn gửi sửa chữa dịch vụ tại FPT Shop thì có được không?,"Đối với Phụ kiện nhập khẩu nếu Quý khách có nhu cầu gửi hãng để làm dịch vụ FPT Shop tiếp nhận sản phẩm gửi về TTBH kiểm tra, có chi phí báo lại Quý khách sau."
21,Đại lý uỷ quyền và TTBH uỷ quyền của Apple,Thông tin FPT Shop/Dịch vụ Apple,FPT Shop có phải là đại lý ủy quyền chính thức của Apple tại Việt Nam không?,"FPT Shop là đại lý Apple ủy quyền toàn cầu (Apple Authorized Reseller) tại Việt Nam và nhập khẩu, kinh doanh tất cả các sản phẩm từ Apple. Khách hàng không chỉ được trải nghiệm sản phẩm mới một cách hoàn hảo với khu trải nghiệm Apple Corner đạt tiêu chuẩn hãng mà còn được tư vấn đầy đủ trước khi quyết định mua. Đội ngũ chuyên viên tư vấn và cố vấn kỹ thuật FPT Shop và F.Studio by FPT được đào tạo bởi các chuyên gia Apple, sẽ tư vấn cũng như hỗ trợ kỹ thuật dành cho khách hàng một cách chuyên nghiệp nhất về sản phẩm, ứng dụng và các công nghệ mới nhất từ Apple."
22,Đại lý uỷ quyền và TTBH uỷ quyền của Apple,Thông tin FPT Shop/Dịch vụ Apple,Tôi có thể bảo hành sản phẩm Apple chính hãng ở đâu? Trung tâm bảo hành ủy quyền của Apple tại Việt Nam là gì?,"Trung tâm bảo hành ủy quyền Apple F.Care by FPT (Apple Authorized Service Provider) là một chuỗi các trung tâm bảo hành được Apple Việt Nam ủy quyền về mặt pháp lý và kỹ thuật để thực hiện các dịch vụ sửa chữa, bảo hành đối với sản phẩm của hãng theo tiêu chuẩn do Apple quy định. Được vận hành và xây dựng bởi FPT Retail. Đến với F.Care, khách hàng sẽ được trải nghiệm dịch vụ chuẩn hãng, với đội ngũ kỹ thuật viên có kinh nghiệm dày dặn, được đào tạo bài bản bởi Apple."
23,Mục đích và phạm vi thu thập,Chính sách bảo mật,FPT Shop thu thập thông tin cá nhân của khách hàng với mục đích gì?,"FPTshop.com.vn thu thập thông tin cá nhân của khách hàng để cung cấp dịch vụ, xác minh danh tính, và đảm bảo các hoạt động giao dịch an toàn. Các thông tin được thu thập bao gồm số lần truy cập, số trang bạn xem, số liên kết bạn click và thông tin trình duyệt khi truy cập website."
24,Phạm vi sử dụng thông tin,Chính sách bảo mật,Thông tin cá nhân của khách hàng được sử dụng trong phạm vi nào?,"FPTshop.com.vn chỉ sử dụng thông tin cá nhân của khách hàng trong phạm vi đã thông báo, bao gồm liên hệ trực tiếp qua thư ngỏ, đơn đặt hàng, thư cảm ơn, sms, thông tin bảo mật, và các dịch vụ khác liên quan."
25,Thời gian lưu trữ thông tin,Chính sách bảo mật,Thông tin cá nhân của khách hàng được lưu trữ bao lâu?,"Dữ liệu cá nhân sẽ được lưu trữ đến khi có yêu cầu hủy bỏ từ khách hàng hoặc khi khách hàng tự hủy bỏ thông tin. Trong mọi trường hợp, dữ liệu cá nhân sẽ được bảo mật trên máy chủ của FPTshop.com.vn."
26,Cam kết bảo mật thông tin,Chính sách bảo mật,FPT Shop cam kết bảo mật thông tin khách hàng như thế nào?,"FPTshop.com.vn cam kết bảo mật thông tin cá nhân của khách hàng tuyệt đối, chỉ thu thập và sử dụng khi có sự đồng ý từ khách hàng, và không chia sẻ với bên thứ ba trừ trường hợp có quy định của pháp luật."
27,Quy định bảo mật khi thanh toán,Chính sách bảo mật,FPT Shop bảo mật thông tin thẻ thanh toán của khách hàng như thế nào?,FPTShop đảm bảo thông tin thẻ thanh toán của khách hàng không được lưu trên hệ thống. Các đối tác cổng thanh toán sẽ lưu giữ và bảo mật thông tin này theo tiêu chuẩn quốc tế PCI DSS.
28,Quyền yêu cầu xóa dữ liệu,Chính sách bảo mật,Làm thế nào để yêu cầu xóa dữ liệu cá nhân tại FPT Shop?,Khách hàng có thể gửi yêu cầu xóa dữ liệu qua email đến Trung tâm hỗ trợ của FPT Shop: fptshop@fpt.com.vn. Yêu cầu sẽ được chuyển đến bộ phận xử lý và khách hàng sẽ được cập nhật về tiến trình xóa dữ liệu.
29,Đối tượng thực hiện Chính sách bảo mật,Chính sách bảo mật dữ liệu cá nhân khách hàng,Chính sách bảo mật dữ liệu cá nhân khách hàng được thực hiện bởi đơn vị nào,"Chính sách bảo mật dữ liệu cá nhân khách hàng được thực hiện bởi Công ty Cổ phần Bán lẻ Kỹ thuật số FPT hay FRT , mô tả các hoạt động liên quan đến việc xử lý dữ liệu cá nhân của Khách hàng để họ hiểu rõ hơn về mục đích, phạm vi thông tin mà FRT xử lý, các biện pháp FRT áp dụng để bảo vệ thông tin và quyền của Quý Khách hàng đối với các hoạt động này."
30,Đối tượng áp dụng Chính sách bảo mật,Chính sách bảo mật dữ liệu cá nhân khách hàng,chính sách bảo mật dữ liệu cá nhân của FRT áp dụng cho những đối tượng nào?,Chính sách bảo mật dữ liệu cá nhân khách hàng áp dụng cho các Khách hàng cá nhân và những người có liên quan đến Khách hàng (theo yêu cầu của pháp luật hoặc người đồng sử dụng sản phẩm/dịch vụ của FRT) khi họ sử dụng hoặc tương tác với trang tin điện tử hoặc/và các sản phẩm/dịch vụ của FRT. Chính sách này không áp dụng cho khách hàng doanh nghiệp.
31,Dữ liệu cá nhân cơ bản,Chính sách bảo mật dữ liệu cá nhân khách hàng,"""Dữ liệu cá nhân cơ bản"" mà FPT Shop có thể thu thập gồm những thông tin cụ thể nào?","Dữ liệu cá nhân cơ bản bao gồm: Họ, chữ đệm và tên khai sinh, tên gọi khác (nếu có); Ngày, tháng, năm sinh; ngày, tháng, năm chết hoặc mất tích; Giới tính; Nơi sinh, nơi đăng ký khai sinh, nơi thường trú, nơi tạm trú, nơi ở hiện tại, quê quán, địa chỉ liên hệ; Quốc tịch; Hình ảnh của cá nhân; Số điện thoại, số chứng minh nhân dân, số định danh cá nhân, số hộ chiếu, số giấy phép lái xe, số biển số xe, số mã số thuế cá nhân, số bảo hiểm xã hội, số thẻ bảo hiểm y tế; Tình trạng hôn nhân; Thông tin về mối quan hệ gia đình (cha mẹ, con cái); Thông tin về tài khoản số của cá nhân; dữ liệu cá nhân phản ánh hoạt động, lịch sử hoạt động trên không gian mạng; Các thông tin khác gắn liền với một con người cụ thể hoặc giúp xác định một con người cụ thể không thuộc Dữ liệu cá nhân nhạy cảm và các dữ liệu khác theo quy định pháp luật hiện hành."
32,Dùng dữ liệu cá nhân của khách hàng cho mục đích nghiên cứu,Chính sách bảo mật dữ liệu cá nhân khách hàng,FPT Shop có sử dụng dữ liệu cá nhân của khách hàng cho mục đích nghiên cứu thị trường không?,"Có, một trong những mục đích FRT xử lý dữ liệu cá nhân của Khách hàng là để tổ chức các hoạt động nghiên cứu thị trường, thăm dò dư luận nhằm cải thiện chất lượng sản phẩm/dịch vụ hoặc để nghiên cứu phát triển các sản phẩm, dịch vụ mới nhằm đáp ứng tốt hơn nhu cầu của khách hàng."
33,Biện pháp để bảo vệ dữ liệu khách hàng ,Chính sách bảo mật dữ liệu cá nhân khách hàng,"FPT Shop có những biện pháp nào để bảo vệ dữ liệu của khách hàng, và khách hàng cần làm gì để tự bảo vệ thông tin của mình?","FRT sử dụng nhiều công nghệ bảo mật thông tin khác nhau nhằm bảo vệ Dữ liệu cá nhân của Khách hàng không bị truy lục, sử dụng hoặc chia sẻ ngoài ý muốn. Đồng thời, FRT khuyến cáo Khách hàng nên bảo mật các thông tin liên quan đến mật khẩu đăng nhập vào tài khoản, mã OTP và không chia sẻ những thông tin này với bất kỳ người nào khác. Khách hàng cũng nên bảo quản thiết bị điện tử trong quá trình sử dụng và nên khóa, đăng xuất, hoặc thoát khỏi tài khoản trên website hoặc Ứng dụng của FRT khi không sử dụng."
34,Nguồn thu thập thông tin cá nhân khách hàng,Chính sách bảo mật dữ liệu cá nhân khách hàng,FPT Shop thu thập thông tin cá nhân của khách hàng từ những nguồn nào?,"FRT thu thập dữ liệu cá nhân trực tiếp từ Khách hàng (ví dụ: khi Khách hàng gửi yêu cầu đăng ký, điền thông tin vào biểu mẫu, tương tác với nhân viên dịch vụ khách hàng, sử dụng một số dịch vụ của FRT, hoặc khi được liên hệ và phản hồi lại các đại diện tiếp thị) và từ các bên thứ ba khác (ví dụ: nếu Khách hàng tương tác với nội dung hoặc quảng cáo của bên thứ ba trên trang tin điện tử hoặc trong ứng dụng của FRT, nếu Khách hàng chọn thanh toán điện tử, từ các cơ quan pháp luật, hoặc từ các nguồn công khai)."
35,Chính sách xử lý dữ liệu cá nhân của trẻ em,Chính sách bảo mật dữ liệu cá nhân khách hàng,Chính sách của FPT Shop về việc xử lý dữ liệu cá nhân của trẻ em là gì?,"FRT luôn tôn trọng và bảo vệ dữ liệu cá nhân của trẻ em. Ngoài các biện pháp bảo vệ dữ liệu cá nhân theo quy định pháp luật, trước khi xử lý dữ liệu cá nhân của trẻ em, Công ty sẽ thực hiện xác minh tuổi của trẻ và yêu cầu sự đồng ý của trẻ em và/hoặc cha, mẹ hoặc người giám hộ của trẻ em theo quy định của pháp luật."
36,Quyền yêu cầu xóa dữ liệu,Chính sách bảo mật dữ liệu cá nhân khách hàng,Khách hàng có quyền yêu cầu FPT Shop ngừng xử lý và xóa dữ liệu cá nhân của mình không?,"Có, Khách hàng có quyền rút lại sự đồng ý, yêu cầu xóa hoặc yêu cầu hủy dữ liệu cá nhân của mình bằng văn bản gửi đến FRT, trừ trường hợp pháp luật có quy định khác. Việc rút lại sự đồng ý không ảnh hưởng đến tính hợp pháp của việc xử lý dữ liệu đã được Khách hàng đồng ý trước đó."
37,Cung cấp thông tin cá nhân không chính xác,Chính sách bảo mật dữ liệu cá nhân khách hàng,Điều gì sẽ xảy ra nếu khách hàng cung cấp thông tin cá nhân không chính xác hoặc không đầy đủ cho FPT Shop?,"FRT sẽ tiến hành bảo mật Dữ liệu cá nhân của Khách hàng dựa trên thông tin Khách hàng đã đăng ký. Do đó, nếu có bất kỳ thông tin sai lệch nào, FRT sẽ không chịu trách nhiệm trong trường hợp thông tin đó làm ảnh hưởng hoặc hạn chế quyền lợi của Khách hàng. Trường hợp không thông báo về sự thay đổi thông tin, nếu có phát sinh rủi ro, tổn thất thì Khách hàng chịu trách nhiệm về những sai sót hay hành vi lợi dụng, lừa đảo do lỗi của mình hoặc do không cung cấp đúng, đầy đủ, chính xác, kịp thời sự thay đổi thông tin."
38,Định nghĩa Dữ liệu cá nhân (DLCN),Chính sách bảo mật dữ liệu cá nhân khách hàng,"FRT định nghĩa ""Dữ liệu cá nhân"" (DLCN) là gì?","Dữ liệu cá nhân (DLCN) là thông tin dưới dạng ký hiệu, chữ viết, chữ số, hình ảnh, âm thanh hoặc dạng tương tự trên môi trường điện tử gắn liền với một con người cụ thể hoặc giúp xác định một con người cụ thể. DLCN bao gồm dữ liệu cá nhân cơ bản và dữ liệu cá nhân nhạy cảm."
39,Hành động xử lý dữ liệu cá nhân,Chính sách bảo mật dữ liệu cá nhân khách hàng,"Theo FPT Shop, ""xử lý dữ liệu cá nhân"" bao gồm những hành động nào?","""Xử lý dữ liệu cá nhân"" là một hoặc nhiều hoạt động tác động tới dữ liệu cá nhân, như: thu thập, ghi, phân tích, xác nhận, lưu trữ, chỉnh sửa, công khai, kết hợp, truy cập, truy xuất, thu hồi, mã hóa, giải mã, sao chép, chia sẻ, truyền đưa, cung cấp, chuyển giao, xóa, hủy dữ liệu cá nhân hoặc các hành động khác có liên quan."
40,Sự cố định của chính sách bảo mật dữ liệu cá nhân,Chính sách bảo mật dữ liệu cá nhân khách hàng,Chính sách bảo mật dữ liệu cá nhân của FPT Shop có cố định không hay có thể thay đổi?,"Chính sách này có thể được sửa đổi theo từng thời kỳ. Những thay đổi và thời điểm có hiệu lực sẽ được cập nhật và công bố tại các Kênh giao dịch và các kênh khác của FRT. Việc Khách hàng tiếp tục sử dụng dịch vụ sau thời hạn thông báo về các nội dung sửa đổi, bổ sung đồng nghĩa với việc Khách hàng đã chấp nhận các nội dung đó."
41,Giải quyết tranh chấp liên quan đến Chính sách,Chính sách bảo mật dữ liệu cá nhân khách hàng,"Trong trường hợp có tranh chấp phát sinh từ Chính sách bảo mật dữ liệu cá nhân khách hàng, quy trình giải quyết sẽ như thế nào?","Trong quá trình thực hiện nếu phát sinh tranh chấp, các Bên sẽ chủ động giải quyết thông qua thương lượng, hòa giải. Trường hợp hòa giải không thành, tranh chấp sẽ được đưa ra Tòa án nhân dân có thẩm quyền để giải quyết theo quy định của pháp luật."
42,Nghĩa vụ của khách hàng về dữ liệu cá nhân,Chính sách bảo mật dữ liệu cá nhân khách hàng,Khách hàng có những nghĩa vụ gì liên quan đến việc cung cấp và bảo vệ dữ liệu cá nhân của mình cho FRT?,"Khách hàng có nghĩa vụ: tuân thủ quy định pháp luật và của FRT; cung cấp đầy đủ, trung thực, chính xác dữ liệu và thông báo khi có thay đổi; tự bảo vệ dữ liệu cá nhân của mình và chủ động áp dụng các biện pháp bảo vệ; thông báo kịp thời cho FRT khi phát hiện sai sót hoặc nghi ngờ dữ liệu bị xâm phạm; tự chịu trách nhiệm nếu dữ liệu rò rỉ do lỗi của mình; thường xuyên cập nhật chính sách của FRT và tôn trọng dữ liệu cá nhân của người khác."
43,Khuyến cáo bảo mật cho khách hàng,Chính sách bảo mật dữ liệu cá nhân khách hàng,FRT đưa ra khuyến cáo gì cho khách hàng để tự bảo vệ thông tin cá nhân của mình?,"FRT khuyến cáo Khách hàng bảo mật các thông tin liên quan đến mật khẩu đăng nhập vào tài khoản, mã OTP và không chia sẻ chúng với bất kỳ người nào khác. Khách hàng cũng nên bảo quản thiết bị điện tử cẩn thận trong quá trình sử dụng; nên khóa, đăng xuất, hoặc thoát khỏi tài khoản trên website hoặc Ứng dụng của FRT khi không sử dụng."
44,Rủi ro và thiệt hại tiềm ẩn,Chính sách bảo mật dữ liệu cá nhân khách hàng,Những rủi ro hoặc thiệt hại không mong muốn nào có thể xảy ra đối với dữ liệu cá nhân của khách hàng tại FRT?,"Một số hậu quả, thiệt hại không mong muốn có thể xảy ra bao gồm: lỗi phần cứng, phần mềm trong quá trình xử lý làm mất dữ liệu; lỗ hổng bảo mật nằm ngoài khả năng kiểm soát của FRT bị hacker tấn công gây lộ lọt dữ liệu; hoặc Khách hàng tự làm lộ lọt dữ liệu cá nhân do bất cẩn hoặc bị lừa đảo (ví dụ: truy cập website/tải ứng dụng độc hại)."
45,Các loại dữ liệu khác được xử lý,Chính sách bảo mật dữ liệu cá nhân khách hàng,"Ngoài dữ liệu cá nhân cơ bản và nhạy cảm, FRT còn xử lý những loại dữ liệu nào khác của khách hàng?","Ngoài dữ liệu cá nhân cơ bản và nhạy cảm, FRT còn xử lý: (1) Dữ liệu liên quan đến các trang tin điện tử hoặc ứng dụng: dữ liệu kỹ thuật (loại thiết bị, hệ điều hành, loại trình duyệt, địa chỉ IP, cài đặt ngôn ngữ, ngày giờ kết nối, dữ liệu vị trí, v.v.); chi tiết đăng nhập bảo mật; dữ liệu sử dụng. (2) Dữ liệu tiếp thị: các mối quan tâm đối với quảng cáo; dữ liệu cookie; dữ liệu clickstream; lịch sử duyệt web; phản ứng với tiếp thị trực tiếp; và lựa chọn không tham gia tiếp thị trực tiếp."
46,Hình thức trả góp,Chính sách trả góp,FPT Shop có những hình thức trả góp nào?,"Nhằm mang tới sự thuận tiện trong quá trình mua hàng, giúp Quý khách nhanh chóng sở hữu sản phẩm mong muốn, đi kèm với đó là các chương trình hấp dẫn. FPT Shop cung cấp dịch vụ trả góp đa dạng, dễ dàng tiếp cận, trong đó bao gồm trả góp qua thẻ tín dụng, trả góp qua Kredivo, trả góp qua Home PayLater, trả góp qua MoMo và trả góp qua Công ty tài chính."
47,Trả góp qua thẻ tín dụng,Chính sách trả góp,Điều kiện và quy định trả góp qua thẻ tín dụng tại FPT Shop là gì?,"Hiệu lực còn lại của thẻ phải lớn hơn kỳ hạn trả góp, riêng MB, Kiên Long Bank thì hiệu lực của thẻ phải lớn hơn kỳ hạn trả góp ít nhất (01) tháng.\nSố dư thẻ phải lớn hơn hoặc bằng tổng giá trị trả góp.\nKhách hàng phải nhập đúng số thẻ, ngày hết hạn và số CVV khi thực hiện giao dịch.\nThời gian trả góp 3, 6, 9, 12, 15, 18, 24, 36 tháng (tuỳ từng ngân hàng).\nSố lần mua trả góp tuỳ thuộc vào hạn mức thẻ tín dụng.\nGiá trị thanh toán phải đạt số tiền trả góp tối thiểu như sau:\n- Từ 500.000đ trở lên với Muadee by HDBank.\n- Từ 1.000.000đ trở lên với NCB, Sacombank.\n- Từ 2.000.000đ trở lên đối với Techcombank, VIB, Home Credit và Lotte Finance.\n- Từ 3.000.000đ trở lên đối với các ngân hàng còn lại.\nCách thức chuyển đổi trả góp:\n- Vietcombank, MB, SHB, OCB, LPBank, HDBank, PVcomBank, TPBank, Shinhan Finance (SVFC), Mcredit, Woori Bank, Lotte Finance: Ngân hàng sẽ không hỗ trợ chuyển đổi trả góp sau khi giao dịch đã lên sao kê.\n- Các ngân hàng còn lại: Sau 7 - 10 ngày làm việc hệ thống tự chuyển đổi. Trường hợp trong 7 - 10 ngày chờ chuyển đổi mà tài khoản của Quý khách đã lên sao kê thì khi thanh toán với ngân hàng Quý khách hãy trừ khoản thanh toán này ra. Ngân hàng hỗ trợ chuyển đổi sau kì sao kê. Thời gian cụ thể sẽ phụ thuộc vào chính sách kinh doanh từ thời kì của Ngân hàng.\nLưu ý:\n- Không nên giao dịch cận ngày sao kê. Đối với riêng các ngân hàng bao gồm VietcomBank, MB, SHB, OCB, Liên Việt Postbank, HDBank, PVcombank, TPBank, Shinhan Finance (SVFC), Mcredit, Wooribank, Lotte Finance, Ngân Lượng khoá trên hệ thống các ngày gần sao kê tuỳ theo từng Ngân hàng, loại thẻ. Trong thời gian đó chủ thẻ vui lòng sử dụng thẻ của các Ngân hàng còn lại để thực hiện giao dịch trả góp.\n- Chương trình không áp dụng cho thẻ phụ, thẻ Debit và thẻ tín dụng phát hành tại nước ngoài."
48,Trả góp qua công ty tài chính,Chính sách trả góp,Thủ tục và hồ sơ cần thiết khi trả góp qua công ty tài chính tại FPT Shop?,"Khách hàng mang hồ sơ được yêu cầu tới FPT Shop gần nhất để đăng ký, hoàn tất thủ tục trả góp qua nhà tài chính.Chi tiết hồ sơ và yêu cầu:\n- HDS HOME CREDIT SHINHAN FINANCE: Tuổi 18-60, Hồ sơ Căn cước/CMND, Bằng lái xe/sổ hộ khẩu, Hồ sơ được duyệt bởi đơn vị trả góp.\n- FE CREDIT: Tuổi 18-60, Hồ sơ Căn cước/CMND, Hồ sơ được duyệt bởi đơn vị trả góp.\n- MIRAE ASSET: Tuổi Nam: 21-60, Nữ: 18-60, Hồ sơ Căn cước/CMND, Bằng lái xe/sổ hộ khẩu, Hồ sơ được duyệt bởi đơn vị trả góp.\n- SAMSUNG FINANCE PLUS: Tuổi 18-60, Hồ sơ Căn cước/CMND, Bằng lái xe/sổ hộ khẩu, Email, SIM chính chủ, Yêu cầu khác: Thu nhập từ 4.000.000 VNĐ/tháng, Có tài khoản Kredivo, Hồ sơ được duyệt bởi đơn vị trả góp."
